Lon,Lat,Clave,Edo,Est,Tmed
-103.85,25.82,MPMDR,DGO,Mapimí Dgo.,30.53333333
-105.96,25.93,GNCDR,DGO,Guanacevit Dgo.,18.5
-105.37,25.95,SMODR,DGO,Santa María del Oro Dgo.,20.46428571
-103.44,26.11,THODR,DGO,Tlahualilo Dgo.,28.92592593
-104.93,26.24,VHGDR,DGO,Villa Hidalgo Dgo.,22.8125
-104.12,26.52,CEBDR,DGO,Ceballos Dgo.,26.08928571
-105.5,26.44,VILLAOCAMPO,DGO,Villa Ocampo Dgo. SMN*,24.11428571
-105.53,26,SBEDR,DGO,San Bernardo Dgo.,23.625
-103.98,23.74,VGCDR,DGO,Vicente Guerrero Dgo.,23.59166667
-105.67,23.75,SLTDR,DGO,El Salto Dgo.,16.35
-104.92,24.8,GUADR,DGO,Guatimapé Dgo.,20.6
-105.05,23.9,NAVDR,DGO,Navios Viejos Dgo.,17.84821429
-104.67,23.87,SB2DR,DGO,Santiago Bayacora hidrométrica Dgo.,24.74166667
-104.75,23.96,GVHDR,DGO,Guadalupe Victoria Dgo.,23.85
-103.96,24,FV2DR,DGO,Francisco Villa hidrométrica Dgo.,24.04464286
-104.8,24.52,CB2DR,DGO,Caboraca hidrométrica Dgo.,20.91666667
-103.28,25.07,LFLDR,DGO,La Flor Coah.,27.13333333
-102.78,24.56,TGRDR,DGO,El Tigre Dgo.,24.83928571
-105.57,26.08,SRDDR,DGO,Sardinas Dgo.,20.89655172
-104.7,24,CAGDR,DGO,Campo Agrícola Dgo.,24.07692308
-99.75,16.76,76805,GRO,ACAPULCO,30.40666667
-99.5,17.55,76762,GRO,CHILPANCINGO,25.55344828
-98.5,16.66,QTZGR,GRO,Quetzala Gro.,28.35714286
-98.51,17.62,IXTGR,GRO,Ixcateopan de Tlapa Gro.,27.25
-99.93,17.6,YXTGR,GRO,Yextla Gro.,23.80434783
-99.48,16.8,SNMGR,GRO,San Marcos Gro.,26.11111111
-100.52,18.08,AFIGR,GRO,Andrés Figueroa Gro.,29.17592593
-99.61,18.55,TAXGR,GRO,Taxco Gro.,21.7962963
-98.41,16.47,CNLGR,GRO,Cuajinicuilapa Gro.,29.275
-98.43,16.68,OMEGR,GRO,Ometepec Gro.,21.8
-99.24,16.76,LDGGR,GRO,Las Vigas Gro.,26.93333333
-99.75,16.76,ACUGR,GRO,Acapulco Gro. SMN*,29.37321429
-99.8,16.8,ODAGR,GRO,Observatorio de Acapulco Gro.,30.39833333
-99.91,16.85,ACAGR,GRO,Acapulco Gro.,28.38888889
-99.1,16.95,AYUGR,GRO,Ayutla Gro.,26.60344828
-100.02,16.96,LDCGR,GRO,Laguna de Coyuca Gro.,27.13793103
-99.78,16.97,K21GR,GRO,km 21 Gro.,30.55769231
-100.47,17.14,SJEGR,GRO,San Jerónimo Gro.,30.05833333
-99.53,17.17,TCOGR,GRO,Tierra Colorada Gro.,28.6
-100.43,17.21,ATYGR,GRO,Atoyac Gro.,29.88392857
-101.05,17.38,CYQGR,GRO,Coyuquilla Gro.,28.14285714
-99.45,17.48,PETGR,GRO,Petaquillas Gro.,23.85344828
-98.6,17.5,TLPGR,GRO,Tlapa Gro.,26.1
-99.5,17.55,CHIGR,GRO,Chilpancingo Gro.,25.24166667
-99.4,17.57,TXTGR,GRO,Tixtla Gro.,25.61666667
-99.52,17.58,AERGR,GRO,Aeropuerto de Chilpancingo Gro.,25.61
-99.5,17.6,ODZGR,GRO,Observatorio de Zumpango Gro.,26.18333333
-99.18,17.61,CHLGR,GRO,Chilapa Gro.,23.35833333
-99.7,17.67,CCHGR,GRO,Chichihualco Gro.,23.73333333
-98.74,17.78,OLNGR,GRO,Olinala Gro.,28.6
-99.98,17.79,TLAGR,GRO,Tlacotepec Gro.,15.43333333
-101.54,17.86,ZHTGR,GRO,Zihuatanejo Gro.,29.88333333
-98.49,17.9,XXHGR,GRO,Xochihuehuetlán Gro.,27.7
-99.55,18.35,IGLGR,GRO,Iguala Gro.,27.39
-100.66,18.36,CALGR,GRO,Ciudad Altamirano Gro.,29.74074074
-100.27,18.38,VGRGR,GRO,Vicente Guerrero Gro.,26.14814815
-101,18.42,LCLGR,GRO,La Calera Gro.,28.72916667
-99.4,18.46,BVSGR,GRO,Buena Vista Gro.,22.76666667
-99.6,18.55,TAXCO,GRO,Taxco Gro. SGT*,21.81785714
-99.37,17.47,MCHGR,GRO,Mochitlán Gro.,24.53846154
-99.91,16.82,ACAPULCOMAR,GRO,Acapulco Gro. SEMAR*,29.975
-98.84,17.41,CRUCERODEL,GRO,Crucero de L. Gro. Protección Civil*,17.94444444
-101.29,21.01,76577,GTO,GUANAJUATO,22.97333333
-101.47,21.07,COMGJ,GTO,Comanjilla Gto.,23.11538462
-101.22,21.48,SFEGJ,GTO,San Felipe Gto.,18.73333333
-100.36,20.2,CORGJ,GTO,Coroneo Gto.,19.3
-101.11,21.32,LQMGJ,GTO,La Quemada Gto.,20.16666667
-100.5,21.22,POZGJ,GTO,Pozos Gto.,19.7
