Lon,Lat,Clave,Edo,Est,Tmin
-99.78,16.97,K21GR,GRO,km 21 Gro.,19.36363636
-100.47,17.14,SJEGR,GRO,San Jerónimo Gro.,20.13333333
-99.53,17.17,TCOGR,GRO,Tierra Colorada Gro.,19.85
-100.43,17.21,ATYGR,GRO,Atoyac Gro.,18.53571429
-101.05,17.38,CYQGR,GRO,Coyuquilla Gro.,20.70588235
-99.45,17.48,PETGR,GRO,Petaquillas Gro.,14.65384615
-98.6,17.5,TLPGR,GRO,Tlapa Gro.,18.14285714
-99.5,17.55,CHIGR,GRO,Chilpancingo Gro.,13.93333333
-99.4,17.57,TXTGR,GRO,Tixtla Gro.,13.88888889
-99.52,17.58,AERGR,GRO,Aeropuerto de Chilpancingo Gro.,17.37307692
-99.5,17.6,ODZGR,GRO,Observatorio de Zumpango Gro.,16.04
-99.7,17.67,CCHGR,GRO,Chichihualco Gro.,13.57142857
-98.74,17.78,OLNGR,GRO,Olinala Gro.,17.67857143
-99.98,17.79,TLAGR,GRO,Tlacotepec Gro.,10.66666667
-101.54,17.86,ZHTGR,GRO,Zihuatanejo Gro.,22.83333333
-98.49,17.9,XXHGR,GRO,Xochihuehuetlán Gro.,17.34615385
-99.55,18.35,IGLGR,GRO,Iguala Gro.,20.76428571
-100.66,18.36,CALGR,GRO,Ciudad Altamirano Gro.,21.88461538
-100.27,18.38,VGRGR,GRO,Vicente Guerrero Gro.,17.675
-101,18.42,LCLGR,GRO,La Calera Gro.,17.38461538
-99.4,18.46,BVSGR,GRO,Buena Vista Gro.,16.76666667
-99.6,18.55,TAXCO,GRO,Taxco Gro. SGT*,18.07
-99.37,17.47,MCHGR,GRO,Mochitlán Gro.,16.16666667
-99.91,16.82,ACAPULCOMAR,GRO,Acapulco Gro. SEMAR*,23.53666667
-98.84,17.41,CRUCERODEL,GRO,Crucero de L. Gro. Protección Civil*,12.90333333
-101.29,21.01,76577,GTO,GUANAJUATO,12.67666667
-101.47,21.07,COMGJ,GTO,Comanjilla Gto.,9.857142857
