LON,LAT,EDO,CLAVE,ESTACION,dic-19
-101.016667,25.376389,COAH,SALTILLOob,"Observatorio de Saltillo, Coah. SMN*",6.2
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego Jimenez, Coah. CILA*",2.75
-101.213056,28.399444,COAH,SANTACECILIA,"Santa Cecilia, Coah. SMN*",0
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",0.02
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",0
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",0
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",4.1
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",4.1
-103.45,25.541667,COAH,TORCL,"Observatorio de TorreÛn, Coah.",11.21
-103.45,25.533333,COAH,TORREONob,"Observatorio de TorreÛn, Coah. SMN*",7.4
-100.95,27.519444,COAH,VCARRANZA,"Venustiano Carranza, Coah. SMN*",1.2
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",0.51
-100.898889,29.033889,COAH,ZPTCL,"Zapata, Coah.",0
-103.611389,19.248611,COL,BVSCM,"Buena Vista, Col.",0
-103.723611,18.754722,COL,CDOCM,"Cerro de Ortega, Col.",4.5
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",0
-103.6325,18.813056,COL,CLLCM,"Callejones, Col.",0
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",0
-103.804167,19.2125,COL,CQMCM,"Coquimatl·n, Col.",0.01
-103.6,19.325,COL,CUACM,"CuauhtÈmoc, Col.",0
-103.884444,19.111389,COL,DJLCM,"Derivadora Jala (Madrid), Col.",0
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",21.082
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",0
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",0
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",0.02
-104.297778,19.069167,COL,MANZANILLOmar,"Manzanillo, Col. SEMAR*",0
-104.316667,19.046389,COL,MANZANILLOob,"Observatorio de Manzanillo, Col. SMN*",0
-104.318333,19.044444,COL,MNZCM,"Manzanillo, Col.",0
-103.725278,19.223333,COL,RDRCM,"Radar, Col.",2.3
-103.700833,19.408333,COL,SCHCM,"Suchitl·n, Col.",21
-103.9175,19.463611,COL,SMANANTLANI,"Sierra Manatl·n 1, Col. SMN*",6.4
-103.882778,18.925556,COL,TCMCM,"Tecom·n, Col.",0.01
-103.396667,18.967222,COL,TRJCM,"Solidaridad, Col.",0.01
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",0
-99.329444,19.3225,DF,ACOPILCO,"Acopilco, Cd. de MÈx. UNAM*",0.46
-99.099722,19.379167,DF,ACULCO,"Planta de bombeo Aculco, Cd. de MÈx. SACMEX*",0
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de MÈx.",0.51
-99.188889,19.214722,DF,AJUSCO,"Ajusco, Cd. de MÈx. UNAM*",0
-99.210278,19.218611,DF,AJUSCODF,"Ajusco, Cd. de MÈx. SACMEX*",0
-99.174167,19.240833,DF,AMC,"Academia Mexicana de Ciencias, Cd. de MÈx. UNAM*",0
-99.118056,19.469722,DF,BONDOJITO,"Bondojito, Cd. de MÈx. UNAM*",0.55
-99.195,19.292222,DF,BTLALPAN,"Rebombeo Bosque de Tlalpan, Cd. de MÈx. SACMEX*",0
-98.998056,19.356111,DF,CARCELMUJERES,"C·rcel de Mujeres, Cd. de MÈx. SACMEX*",0
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias BiolÛgicas IPN, Cd. de MÈx. SMN*",0
-99.059722,19.383889,DF,CCHOTE,"CCH Oriente, Cd. de MÈx. UNAM*",0
-99.140833,19.483333,DF,CCHVALLEJO,"CCH Vallejo, Cd. de MÈx. UNAM*",0
-99.180556,19.346667,DF,CCUDF,"Centro Universitario, Cd. de MÈx.",0
-99.082222,19.408611,DF,CDEPORTIVA,"Ciudad Deportiva, Cd. de MÈx. SACMEX*",0
-98.999444,19.357222,DF,CDMDF,"C·rcel de Mujeres, Cd. de MÈx.",0
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de MÈx.",0
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de MÈx.",0
-99.196111,19.311667,DF,CENAPRED,"Centro de Ciencias de la AtmÛsfera CENAPRED, Cd. de MÈx SMN*",0
-99.077222,19.336944,DF,CESTRELLA,"Planta de Tratamiento Cerro de La Estrella, Cd. de MÈx. SACMEX*",0
-99.171667,19.1375,DF,CFORESTAL,"Caseta Forestal, Cd. de MÈx. SACMEX*",0
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de MÈx.",0.51
-99.047222,19.442222,DF,CHAPLAGO,"Planta de bombeo Churubusco Lago, Cd. de MÈx. SACMEX*",0
-99.136667,19.470556,DF,CIENMETROS,"Avenida Cien Metros, Cd. de MÈx. SACMEX*",0
-99.182778,19.486944,DF,CMECOAYA,"Campamento Mecoaya, Cd. de MÈx. SACMEX*",0
-99.1375,19.469722,DF,CMTDF,"Cien Metros, Cd. de MÈx.",0
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de MÈx.",0
-99.134722,19.287778,DF,COAPA,"Coapa, Cd. de MÈx. UNAM*",0.02
