Estado,Localidad,Lon,Lat,Clave,Tmax,Tmin,Tmed
GTO,Pozos Gto.,-100.5,21.22,POZGJ,20.93548387,4.741935484,12.83870968
GTO,Presa la Gavia Gto.,-100.87,20.38,LGVGJ,25.29032258,4.548387097,14.91935484
GTO,Salamanca Gto.,-101.2,20.57,SLMGJ,25.91935484,8.0,16.95967742
GTO,Salvatierra Gto.,-100.88,20.21,SLVGJ,26.06451613,6.629032258,16.34677419
GTO,San Felipe Gto.,-101.22,21.48,SFEGJ,19.90322581,2.596774194,11.25
GTO,San Luis de la Paz Gto.,-100.52,21.3,SLPGJ,22.11290323,2.225806452,12.16935484
GTO,San Miguel Octopan Gto.,-100.75,20.58,SMOGJ,23.30645161,6.822580645,15.06451613
GTO,San Miguel de Allende Gto.,-101.02,20.43,SMAGJ,23.46774194,4.5,13.98387097
GTO,Santa Julia Gto.,-101.02,20.4,SJLGJ,25.79032258,5.806451612999999,15.7983871
GTO,Santa Rita Gto.,-101.07,20.3,SRTGJ,25.27419355,6.209677419,15.74193548
GTO,Solís Gto.,-100.67,20.05,SLSGJ,24.77419355,7.806451612999999,16.29032258
GTO,Tarimoro Gto.,-100.75,20.28,TARGJ,25.58064516,6.887096774,16.23387097
GTO,Temascatío Gto.,-101.3,20.6,TEMGJ,26.27419355,9.370967742000001,17.82258065
GTO,Valle de Santiago Gto.,-101.18,20.39,VDSGJ,23.32258065,6.677419355,15.0
GTO,Xichú Gto.,-100.09,21.3,XICGJ,26.13333333,8.483333333,17.30833333
HGO,Actopan Hgo.,-98.94,20.27,ACTHD,26.77419355,4.064516128999999,15.41935484
HGO,Endhó Hgo.,-99.36,20.16,ENDHD,24.77419355,6.0,15.38709677
HGO,Huichapan Hgo.,-99.65,20.37,HCPHD,22.70967742,4.432258065,13.57096774
HGO,Ing. Fernando Hiriart Balderrama Hgo.,-99.5,20.66,ZMPHD,24.74333333,11.78333333,18.26333333
HGO,Ixmiquilpan Hgo.,-99.22,20.48,IXMHD,23.51612903,7.806451612999999,15.66129032
HGO,Javier Rojo Gómez Hgo.,-99.33,20.36,PRGHD,23.93548387,7.322580645,15.62903226
HGO,La Laguna Hgo. SGT*,-98.13,20.14,LAGUNASGT,15.648,5.6356,10.6418
HGO,Mixquiahuala Hgo.,-99.22,20.24,MXQHD,23.41935484,5.741935484,14.58064516
HGO,Observatorio de Pachuca Hgo.,-98.75,20.12,PCOHD,21.91290323,5.174193548,13.54354839
HGO,Requena Hgo.,-99.31,19.96,PRQHD,24.53225806,4.709677419,14.62096774
HGO,TULANCINGO,-98.36,20.08,76634,22.5516129,6.0032258060000006,14.27741935
HGO,Tulancingo Hgo.,-98.37,20.08,TLGHD,22.6,6.283870968,14.44193548
HGO,Vicente Aguirre Hgo.,-99.38,20.44,PVAHD,23.64516129,6.741935484,15.19354839
HGO,Zacualtipán Hgo.,-98.65,20.65,ZXTHD,21.13333333,6.266666667000001,13.7
JAL,Achimec Jal.,-103.23,22.33,ACHZC,24.20967742,2.741935484,13.47580645
JAL,Atotonilco Jal. CFE*,-102.5,20.55,ATOTONILCOCFE,25.63548387,7.067741935,16.351612900000003
JAL,Basilio Vadillo Jal.,-104.06,19.91,BBAJL,32.80645161,11.70967742,22.25806452
JAL,Bocas Jal.,-103.73,22.4,BCSJL,27.17741935,2.5,14.83870968
JAL,CIUDAD GUZMÁN,-103.46,19.73,76656,24.27666667,8.223333333,16.25
JAL,COLOTLAN,-103.27,22.11,76519,23.67307692,4.4192307689999994,14.04615385
JAL,Cajón de Peña Jal.,-105.13,20.0,CPEJL,30.16129032,20.80645161,25.48387097
JAL,Colotlán Jal.,-103.25,22.13,CLTJL,25.51290323,4.106451613,14.80967742
JAL,Constitución de Apatzingán Jal.,-102.77,19.29,CHLMC,37.51612903,15.29032258,26.40322581
JAL,Cuale Jal.,-105.05,20.58,CULJL,29.59677419,16.77419355,23.18548387
JAL,Guadalajara Centro Jal.,-103.37,20.67,GUAJL,24.41935484,10.72580645,17.57258065
JAL,Jamay Jal.,-102.71,20.29,JMYJL,23.29032258,5.7354838710000005,14.51290323
JAL,Lago de Chapala Jal.,-103.2,20.29,LDCJL,23.0,13.0,18.0
JAL,Tlajomulco Jal. SMN*,-103.42,20.44,TLAJOMULCO,25.6,5.95483871,15.77741935
