Estado,Localidad,Lon,Lat,Clave,2020,2018,Edo,2019
GTO,"Pericos, Gto.",-101.133333,20.516667,PERGJ,0.4,0.4,GTO,152.3
GTO,"Peñuelitas, Gto.",-100.878333,21.105,PNLGJ,0.5,0.5,GTO,105.5
GTO,"Pozos, Gto.",-100.496111,21.22,POZGJ,0.1,0.1,GTO,41.7
GTO,"Puente Dolores, Gto.",-100.9,21.1,PDLGJ,0.0,0.0,GTO,51.0
GTO,"Salamanca, Gto.",-101.199444,20.565278,SLMGJ,2.8,2.8,GTO,193.6
GTO,"Salvatierra, Gto.",-100.884722,20.214167,SLVGJ,8.9,8.9,GTO,120.7
GTO,"San Felipe, Gto.",-101.216667,21.483333,SFEGJ,5.4,5.4,GTO,82.9
GTO,"Santa Julia, Gto.",-101.016667,20.4,SJLGJ,1.2,1.2,GTO,185.6
GTO,"Santa Rita, Gto.",-101.06666700000001,20.3,SRTGJ,0.0,0.0,GTO,138.5
GTO,"Solís, Gto.",-100.667222,20.051667000000002,SLSGJ,8.0,8.0,GTO,126.1
GTO,"Tarimoro, Gto.",-100.75,20.283333,TARGJ,1.5,1.5,GTO,162.1
GTO,"Temascatío, Gto.",-101.3,20.6,TEMGJ,0.0,0.0,GTO,243.9
GTO,"Tres Guerras, Gto.",-100.8,20.5,TGRGJ,0.0,0.0,GTO,154.5
HGO,"Actopan, Hgo.",-98.94166700000001,20.268056,ACTHD,15.0,15.0,HGO,46.4
HGO,"Atlapexco, Hgo.",-98.333333,21.016667,ATCHD,109.0,109.0,HGO,110.5
HGO,"Huejutla, Hgo.",-98.416667,21.15,HJTHD,131.5,131.5,HGO,72.0
HGO,"Ixmiquilpan, Hgo.",-99.220833,20.481944,IXMHD,6.1,6.1,HGO,33.2
HGO,"La Esperanza, Hgo.",-98.334722,20.0575,PERHD,2.8,2.8,HGO,30.2
HGO,"Metztitlán, Hgo.",-98.757222,20.591667,LMTHD,15.0,15.0,HGO,70.0
HGO,"Mixquiahuala, Hgo.",-99.218611,20.2375,MXQHD,5.5,5.5,HGO,85.5
HGO,"Requena, Hgo.",-99.310833,19.963055999999998,PRQHD,6.0,6.0,HGO,70.5
HGO,"San Felipe Orizatlán, Hgo.",-98.6,21.166667,ORZHD,164.3,164.3,HGO,122.3
