LON,LAT,EDO,CLAVE_SIH,NOMBRE,JUN
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",255.4
-91.949722,17.85,CHIS,CATAZAJA,"Catazaj· SGT, Chis",168
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",296.8
-91.710278,16.383056,CHIS,CHAYABE,"Finca ChayabÈ OCFS, Chis.",399
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",197.6
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",124.81
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",194.4
-92.1,16.2,CHIS,COOCP,"Observatorio de Comit·n, Chis.",144.21
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",317.52
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",170.8
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",404.02
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",620.8
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",142
-92.829444,17.373056,CHIS,ESCALONCP,"El EscalÛn SGT, Chis.",615.9
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",522.6
-92.67,15.33,CHIS,ESCUINTLA,"Escuintla SMN, Chis.",350.5
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",88.02
-92.402778,14.997222,CHIS,HUECP,"Huehuet·n, Chis.",397.22
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",456.2
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. OCFS*",442.9
-92.184722,14.626111,CHIS,ILRAYON,"Ignacio LÛpez RayÛn, Chis. OCFS*",128
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",335
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",310.96
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",334.4
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",312.13
-93.598889,17.178611,CHIS,MALCP,"NezahualcÛyotl, Chis.",168.1
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",465.53
-92.0025,16.002222,CHIS,MOZCP,"Mozotal, Chis.",200.3
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",323.6
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",260.1
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",143.2
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",90.61
-93.458611,17.446111,CHIS,PENCP,"¡ngel Albino Corzo, Chis.",284.83
-93.113889,17.511944,CHIS,PICCP,"Pichucalco, Chis.",279.5
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",299.21
-93.186667,16.753889,CHIS,PTECLUBCAMP,"Puente Club Campestre, Chis. SGT*",151
-93.552778,17.348333,CHIS,RCACP,"RÛmulo Calzada, Chis.",187.2
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",272.6
-93.079167,16.158333,CHIS,REVCP,"RevoluciÛn Mexicana, Chis.",260.8
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",424.2
-93.741111,16.699722,CHIS,SANTALUCIAHM,"Santa LucÌa, Chis. SGT*",102.6
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",403.6
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San CristÛbal, Chis.",224
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos (San CristÛbal CabaÒas), Chis.",286.61
-92.105556,15.775,CHIS,SDOCP,"Santo Domingo, Chis.",195.9
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",272.6
-93.55,17.35,CHIS,SITALA,"Sitala, Chis. SGT*",251.2
-92.916667,17.5,CHIS,SJOTB,"San JoaquÌn, Chis.",361.6
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",102.65
-92.820833,16.938889,CHIS,SNACP,"Santa MarÌa, Chis.",149.01
-92.266667,14.9,CHIS,TAMCP,"Tapachula (Malpaso), Chis.",722.51
-92.183333,14.9,CHIS,TAPCP,"Tapachula, Chis.",324.3
-93.383333,17.425,CHIS,TAPILULA,"Tapilula, Chis. SGT*",320.3
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",375.2
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",231.21
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla GutiÈrrez, Chis.",118.81
-93.068056,16.716944,CHIS,TXZCP,"Tuxtla GutiÈrrez Zoomat, Chis.",196.91
-93.270833,16.233333,CHIS,VIFCP,"Villa Flores, Chis.",262.73
-93.330556,17.116667,CHIS,YAMCP,"YamonhÛ, Chis.",157.3
-91.729722,16.909167,CHIS,YAQUINTELA,"Yaquintela, Chis. SGT*",159.8
-92.050556,16.116389,CHIS,ZAPALUTA,"Zapaluta, Chis. SGT*",119.7
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",38
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",130.51
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",23.9
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",88
-102.064444,26.983333,COAH,CCGCL,"Cuatro CiÈnegas, Coah.",31.31
-100.950278,29.327778,COAH,CDACL,"Ciudad AcuÒa, Coah.",228.02
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",26
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",176.6
-103.338333,25.695833,COAH,CUICL,"El Cuije, Coah.",25.5
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",34.13
-100.920833,25.436111,COAH,ESLCL,"E. C. Saltillo, Coah.",59.71
-103.262778,25.773889,COAH,FIMCL,"Francisco I. Madero, Coah.",11
-100.954444,29.329167,COAH,LASVACASC,"Las Vacas, Ciudad AcuÒa CILA, Coah.",183.4
-100.832222,28.82,COAH,LFGCL,"La Fragua, Coah.",12.5
-103.228056,25.527778,COAH,MATCL,"Matamoros, Coah.",33.54
-101.4225,26.908333,COAH,MCVCL,"Monclova, Coah.",64.2
-101.711389,28.013056,COAH,MORELOSMUZQUIZ,"Morelos M˙zquiz, Coah. SMN*",110
-101.33,27.92,COAH,NUEVAROSITA,"Nueva Rosita, Coah. SMN*",106.75
-102.181667,25.440833,COAH,PARCL,"Parras, Coah.",51.3
-100.5325,28.706667,COAH,PNGCL,"Piedras Negras, Coah.",100.3
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",54.02
-100.634444,28.898611,COAH,RioSanRodrigoC,"Rio San Rodrigo cerca El Moral. Piedras Negras Coah., CILA*",87.25
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",28
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",61.01
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego Jimenez, Coah. CILA*",114.25
-101.213056,28.399444,COAH,SANTACECILIA,"Santa Cecilia, Coah. SMN*",39.29
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",122.51
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",150
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",16
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",20.34
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",24.32
-103.45,25.541667,COAH,TORCL,"Observatorio de TorreÛn, Coah.",34.31
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",9.52
-100.898889,29.033889,COAH,ZPTCL,"Zapata, Coah.",164
-103.611389,19.248611,COL,BVSCM,"Buena Vista, Col.",147.01
-103.723611,18.754722,COL,CDOCM,"Cerro de Ortega, Col.",46.62
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",80.11
-103.6325,18.813056,COL,CLLCM,"Callejones, Col.",64.51
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",73.83
-103.804167,19.2125,COL,CQMCM,"Coquimatl·n, Col.",50.2
-103.6,19.325,COL,CUACM,"CuauhtÈmoc, Col.",60.7
-103.884444,19.111389,COL,DJLCM,"Derivadora Jala (Madrid), Col.",49.21
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",26.8
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",52.74
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",80.81
-104.297778,19.069167,COL,MANZANILLOmar,"Manzanillo, Col. SEMAR*",15.23
-104.318333,19.044444,COL,MNZCM,"Manzanillo, Col.",38.8
-103.816667,19.266667,COL,PNTCM,"PeÒitas, Col.",95
-103.725278,19.223333,COL,RDRCM,"Radar, Col.",21.8
-103.700833,19.408333,COL,SCHCM,"Suchitl·n, Col.",95.3
-103.9175,19.463611,COL,SMANANTLANI,"Sierra Manatl·n 1, Col. SMN*",50.6
