Estado,Localidad,Edo,Clave,Lon,Lat,2018,2019,2020,Tmax,Tmin,Tmed
HGO,"Ixmiquilpan, Hgo.",HGO,IXMHD,-99.22,20.48,6.1,33.2,6.1,23.51612903,7.806451612999999,15.66129032
HGO,"Mixquiahuala, Hgo.",HGO,MXQHD,-99.22,20.24,5.5,85.5,5.5,23.41935484,5.741935484,14.58064516
HGO,"Requena, Hgo.",HGO,PRQHD,-99.31,19.96,6.0,70.5,6.0,24.53225806,4.709677419,14.62096774
HGO,"Taxhimay, Hgo.",HGO,TXMHD,-99.39,19.83,11.5,154.0,11.5,24.61290323,2.419354839,13.51612903
HGO,"Tulancingo, Hgo.",HGO,TLGHD,-98.37,20.08,4.0,53.1,4.0,22.6,6.283870968,14.44193548
HGO,"Vicente Aguirre, Hgo.",HGO,PVAHD,-99.38,20.44,0.0,21.0,0.0,23.64516129,6.741935484,15.19354839
HGO,"Zacualtipán, Hgo.",HGO,ZXTHD,-98.65,20.65,126.5,150.5,126.5,21.13333333,6.266666667000001,13.7
JAL,"Basilio Vadillo, Jal.",JAL,BBAJL,-104.06,19.91,0.0,286.5,0.0,32.80645161,11.70967742,22.25806452
JAL,"Bocas, Jal.",JAL,BCSJL,-103.73,22.4,25.4,120.7,25.4,27.17741935,2.5,14.83870968
JAL,"Cajón de Peña, Jal.",JAL,CPEJL,-105.13,20.0,1.0,256.6,1.0,30.16129032,20.80645161,25.48387097
JAL,"Cuale, Jal.",JAL,CULJL,-105.05,20.58,1.5,476.0,1.5,29.59677419,16.77419355,23.18548387
JAL,"Guadalajara Centro, Jal.",JAL,GUAJL,-103.37,20.67,16.4,362.0,16.4,24.41935484,10.72580645,17.57258065
JAL,"Jamay, Jal.",JAL,JMYJL,-102.71,20.29,8.6,166.8,8.6,23.29032258,5.7354838710000005,14.51290323
JAL,"Lago de Chapala, Jal.",JAL,LDCJL,-103.2,20.29,2.3,277.3,2.3,23.0,13.0,18.0
JAL,"Tlaquepaque, Jal.",JAL,TLAJL,-103.32,20.58,15.3,216.9,15.3,26.77419355,10.67741935,18.72580645
MEX,"Calacoaya, Méx.",MEX,CLYMX,-99.24,19.53,5.4,204.6,5.4,21.43548387,5.338709677,13.38709677
MEX,"Chapingo, Méx.",MEX,CHPMX,-98.88,19.48,10.3,90.3,10.3,24.83870968,3.725806452,14.28225806
MEX,"El Molinito Río Hondo, Méx.",MEX,EMOMX,-99.24,19.45,12.4,217.0,12.4,24.0,-1.096774194,11.4516129
MEX,"La Concepción, Méx.",MEX,CNPMX,-99.3,19.7,3.0,244.3,3.0,22.32258065,2.935483871,12.62903226
MEX,"La Grande, Méx.",MEX,GRDMX,-98.92,19.58,6.3,123.7,6.3,22.25806452,7.258064516,14.75806452
MEX,"Las Arboledas, Méx.",MEX,ARBMX,-99.22,19.57,4.0,209.4,4.0,23.35483871,5.661290322999999,14.50806452
MEX,"Molino Blanco, Méx.",MEX,MBLMX,-99.22,19.48,11.5,188.5,11.5,21.48387097,4.741935484,13.11290323
MEX,"Presa Totolica, Méx.",MEX,PTLMX,-99.28,19.45,9.2,218.9,9.2,21.048387100000003,2.419354839,11.73387097
MEX,"Puente Colgante, Méx.",MEX,PCGMX,-99.18,19.74,5.0,147.6,5.0,21.0,2.419354839,11.70967742
MEX,"San Juan de las Huertas, Méx.",MEX,SJHMX,-99.76,19.24,18.9,143.3,18.9,16.83870968,2.483870968,9.661290323
MEX,"San Lucas, Mex.",MEX,SNLMX,-98.86,19.64,8.1,157.8,8.1,22.0,3.193548387,12.59677419
MEX,"San Luis Ameca, Méx.",MEX,SLAMX,-98.87,19.19,2.6,102.0,2.6,21.43548387,3.85483871,12.64516129
MEX,"San Martín Obispo, Méx.",MEX,OBSMX,-99.19,19.62,4.5,131.7,4.5,21.24193548,7.387096774,14.31451613
MEX,"Santa María del Llano, Méx.",MEX,SMLMX,-99.8,19.63,11.0,327.0,11.0,24.61290323,-2.290322581,11.16129032
MEX,"Tajo de Tequixquiac, Mex.",MEX,TTQMX,-99.12,19.9,9.0,142.1,9.0,22.19354839,1.967741935,12.08064516
MEX,"Trojes, Méx.",MEX,TROMX,-100.28,19.1,20.1,245.2,20.1,22.11290323,2.5,12.30645161
MICH,"Apatzingán, Mich.",MICH,APTMC,-102.37,19.08,43.0,177.5,43.0,33.53225806,15.09677419,24.31451613
MICH,"Casa Blanca, Mich.",MICH,CBLMC,-101.46,20.32,0.5,164.5,0.5,24.30645161,5.112903226,14.70967742
MICH,"El Gigante, Mich.",MICH,EGIMC,-100.45,19.97,8.2,169.9,8.2,26.69354839,4.677419355,15.68548387
MICH,"Guaracha, Mich.",MICH,GUAMC,-102.54,19.98,29.0,262.5,29.0,29.38709677,6.516129032,17.951612899999997
MICH,"La Palma, Mich.",MICH,LPAMC,-102.75,20.15,0.0,32.2,0.0,23.67741935,9.816129032000001,16.74677419
MICH,"Los Olivos, Mich.",MICH,LOLMC,-102.87,19.21,61.0,83.0,61.0,38.09677419,14.5,26.298387100000003
MICH,"Morelia Centro, Mich.",MICH,MCEMC,-101.1,19.7,32.0,117.5,32.0,24.03225806,8.309677419,16.17096774
MICH,"Morelia, Mich.",MICH,MORMC,-101.18,19.69,11.3,177.4,11.3,24.40322581,7.64516129,16.02419355
MICH,"Pastor Ortiz, Mich.",MICH,PORMC,-101.6,20.3,0.0,158.3,0.0,22.58064516,4.838709677,13.70967742
MICH,"Planta de Bombeo, Mich.",MICH,PDBMC,-101.05,19.49,3.5,84.0,3.5,24.53225806,5.032258065,14.78225806
MICH,"Sahuayo, Mich.",MICH,SAHMC,-102.72,20.07,8.0,193.8,8.0,26.0,5.435483871000001,15.71774194
MICH,"San Juanico, Mich.",MICH,SJUMC,-102.65,19.84,8.0,246.1,8.0,25.25806452,7.370967742,16.31451613
MICH,"San Simón, Mich.",MICH,SSIMC,-102.4,20.1,9.5,288.0,9.5,26.96774194,12.29032258,19.62903226
MICH,"Urepetiro, Mich.",MICH,UREMC,-102.14,19.96,8.7,184.7,8.7,22.90322581,3.14516129,13.02419355
MICH,"Villa Jiménez, Mich.",MICH,VJIMC,-101.45,19.55,16.1,200.6,16.1,23.59677419,2.967741935,13.28225806
MICH,"Zicuirán, Mich.",MICH,ZICMC,-101.93,18.92,0.0,107.5,0.0,39.87096774,17.12903226,28.5
MOR,"Higuerón, Mor.",MOR,HIGMR,-99.18,18.57,0.0,164.9,0.0,28.83870968,12.48387097,20.66129032
MOR,"Jojutla, Mor.",MOR,JOJMR,-99.2,18.6,0.0,128.9,0.0,34.17741935,10.69354839,22.43548387
MOR,"Ocuituco, Mor.",MOR,OCTMR,-98.76,18.88,1.5,231.0,1.5,26.15483871,8.677419355,17.41612903
NAY,"Acaponeta, Nay. SMN*",NAY,ACAPONETA,-105.39,22.47,0.0,90.3,0.0,30.68387097,15.93225806,23.30806452
NAY,"Gaviotas, Nay.",NAY,GAVNR,-105.14,20.89,3.0,345.1,3.0,31.88709677,16.61290323,24.25
NAY,"Tepic, Nay.",NAY,TEPNR,-104.89,21.49,6.3,259.9,6.3,28.01290323,13.98709677,21.0
NL,"Aramberri, N.L.",NL,ARRNL,-99.82,24.1,20.5,27.9,20.5,23.53333333,6.1333333329999995,14.83333333
NL,"Cerralvo, N.L.",NL,CRVNL,-99.61,26.09,23.5,7.6,23.5,19.27586207,7.0,13.13793103
NL,"Ciénega de Flores, N.L.",NL,CDFNL,-100.17,25.95,5.3,19.0,5.3,20.77586207,7.103448276,13.93965517
NL,"Crucitas, N.L.",NL,CRUNL,-99.7,24.78,54.1,0.0,54.1,21.33928571,7.517857143,14.42857143
NL,"Doctor Arroyo, N.L.",NL,DARNL,-100.17,23.68,59.0,65.0,59.0,22.87096774,6.64516129,14.75806452
NL,"El Canadá, N.L.",NL,CANNL,-100.27,25.8,6.5,15.8,6.5,22.03846154,8.923076923,15.48076923
NL,"El Cerrito, N.L.",NL,ECSNL,-100.2,25.52,32.7,58.0,32.7,21.78571429,5.178571429,13.48214286
NL,"Galeana, N.L.",NL,GALNL,-100.08,24.83,33.3,94.0,33.3,18.19354839,5.225806452,11.70967742
NL,"La Boca, N.L.",NL,LBCNL,-100.13,25.43,24.9,66.0,24.9,21.12962963,7.314814815,14.22222222
NL,"Mier y Noriega, N.L.",NL,MYNNL,-100.12,23.42,35.1,38.6,35.1,24.29032258,7.129032258,15.70967742
NL,"Monterrey, N.L.",NL,MTRNL,-100.27,25.68,9.8,19.5,9.8,21.875,8.803571429,15.33928571
NL,"San Rafael, N.L.",NL,SRANL,-100.55,25.03,8.5,63.6,8.5,21.58064516,-1.35483871,10.11290323
NL,"Zaragoza, N.L.",NL,ZRGNL,-99.78,23.98,14.0,138.0,14.0,22.51612903,6.4193548389999995,14.46774194
OAX,"Atepec, Oax.",OAX,ATEOX,-96.53,17.43,14.5,61.5,14.5,24.64516129,7.387096774,16.01612903
OAX,"Chicapa, Oax.",OAX,CHIOX,-94.82,16.58,4.7,156.0,4.7,29.82758621,21.77586207,25.80172414
OAX,"Jacatepec, Oax.",OAX,JACOX,-96.2,17.87,116.0,398.0,116.0,26.93333333,17.05,21.99166667
OAX,"María Lombardo, Oax.",OAX,MAROX,-95.48,17.45,70.1,294.2,70.1,25.75,16.84615385,21.29807692
OAX,"Oaxaca Centro, Oax.",OAX,OACOX,-96.73,17.07,0.0,54.6,0.0,28.29032258,11.61290323,19.951612899999997
OAX,"Papaloapan, Oax.",OAX,PAPOX,-96.08,18.17,59.4,282.1,59.4,27.38461538,19.96153846,23.67307692
OAX,"Puerto Ángel, Oax.",OAX,PTAOX,-96.48,15.67,0.0,27.9,0.0,32.99354839,21.92580645,27.45967742
OAX,"San Felipe Usila, Oax.",OAX,SFUOX,-96.53,17.88,321.5,290.0,321.5,25.0,15.37931034,20.18965517
OAX,"Valle Nacional, Oax.",OAX,VANOX,-96.3,17.78,265.9,303.0,265.9,27.38461538,17.11538462,22.25
OAX,"Zacatepec, Oax.",OAX,ZACOX,-95.93,17.15,120.4,210.6,120.4,20.35416667,13.04166667,16.69791667
PUE,"Acajete, Pue.",PUE,ACJPB,-97.93,19.06,13.0,201.6,13.0,23.90322581,3.806451613,13.85483871
PUE,"Ahuazontepec, Pue.",PUE,AHUPB,-98.15,20.03,24.0,61.5,24.0,18.14516129,1.403225806,9.774193548
PUE,"Alchichilca, Pue.",PUE,ACHPB,-97.42,19.45,0.0,19.7,0.0,19.76774194,0.435483871,10.1016129
PUE,"Apapantilla, Pue.",PUE,APAPB,-97.84,20.41,66.0,132.6,66.0,27.12903226,15.74193548,21.43548387
PUE,"Capulac, Pue.",PUE,CPLPB,-98.06,19.09,27.4,285.9,27.4,21.61290323,5.741935484,13.67741935
PUE,"Chietla, Pue.",PUE,CHIPB,-98.58,18.52,5.4,115.4,5.4,30.451612899999997,11.74193548,21.09677419
PUE,"Chignahuapan, Pue.",PUE,CNGPB,-98.05,19.74,20.8,111.1,20.8,17.59677419,1.838709677,9.717741935
PUE,"Cholula, Pue.",PUE,CHLPB,-98.32,19.07,0.0,141.2,0.0,25.29032258,5.35483871,15.32258065
PUE,"Cuetzalan, Pue.",PUE,CTZPB,-97.52,20.03,390.0,418.0,390.0,21.0,10.64516129,15.82258065
