LON,LAT,EDO,CLAVE,ESTACION,JUL
-104.297778,19.069167,COL,MANZANILLOmar,"Manzanillo, Col. SEMAR*",115.8
-104.318333,19.044444,COL,MNZCM,"Manzanillo, Col.",92.6
-103.816667,19.266667,COL,PNTCM,"PeÒitas, Col.",204.1
-103.725278,19.223333,COL,RDRCM,"Radar, Col.",100.5
-103.700833,19.408333,COL,SCHCM,"Suchitl·n, Col.",129.1
-103.9175,19.463611,COL,SMANANTLANI,"Sierra Manatl·n 1, Col. SMN*",145.4
-103.882778,18.925556,COL,TCMCM,"Tecom·n, Col.",107
-103.396667,18.967222,COL,TRJCM,"Solidaridad, Col.",195.1
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",312
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de MÈx.",102.6
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias BiolÛgicas IPN, Cd. de MÈx. SMN*",144
-99.180556,19.346667,DF,CCUDF,"Centro Universitario, Cd. de MÈx.",190
-98.999444,19.357222,DF,CDMDF,"C·rcel de Mujeres, Cd. de MÈx.",143
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de MÈx.",169.2
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de MÈx.",173
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de MÈx.",207.5
-99.1375,19.469722,DF,CMTDF,"Cien Metros, Cd. de MÈx.",302
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de MÈx.",195.8
-99.09,19.190278,DF,CTNDF,"San Salvador Cuautenco, Cd. de MÈx.",184.4
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de MÈx.",132.9
-99.205,19.3,DF,DATDF,"DesviaciÛn Alta, Cd. de MÈx.",57
-99.131389,19.431111,DF,DDFDF,"Gobierno del D.F., Cd. de MÈx.",189
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de MÈx.",49.5
-99.15,19.383333,DF,DVLDF,"Del Valle, Cd. de MÈx.",109.7
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de MÈx.",199.9
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de MÈx.",342.2
-99.352222,19.295,DF,EZCDF,"El Zarco, Cd. de MÈx.",351.3
-99.091667,19.478056,DF,GCNDF,"km 6+250 (Gran Canal), Cd. de MÈx.",144.4
-99.2625,19.308056,DF,HYTDF,"Huayatla, Cd. de MÈx.",21.6
-99.066667,19.377778,DF,LU4DF,"Lumbrera 4 RÌos, Cd. de MÈx.",168.7
-99.3,19.340556,DF,LVNDF,"La Venta, Cd. de MÈx.",288
-99.283333,19.216667,DF,MAGDF,"Monte Alegre, Cd. de MÈx.",261.4
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de MÈx.",214.5
-99.026944,19.187222,DF,MLPDF,"Milpa Alta, Cd. de MÈx.",20.6
-99.233056,19.187778,DF,MZTDF,"Calle Mezontepec (Abasolo), Cd. de MÈx.",257.4
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca AVM Sur, Cd. de MÈx.",182.1
-99.100278,19.379167,DF,PBADF,"Planta de Bombeo Aculco, Cd. de MÈx.",34.5
-99.057778,19.433333,DF,PBCDF,"Planta de Bombeo Churubusco L., Cd. de MÈx.",126.5
-99.119444,19.486667,DF,PBLDF,"Planta de Bombeo Lindavista, Cd. de MÈx.",147.1
-99.037778,19.38,DF,PBODF,"Planta de Bombeo U. E. de Oriente, Cd. de MÈx.",179.8
-99.170556,19.435556,DF,PBTDF,"Planta de Bombeo Tizoc, Cd. de MÈx.",159.5
-99.2,19.413056,DF,PCHDF,"Puerta Chapultepec, Cd. de MÈx.",230.6
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de MÈx.",152.9
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento La Estrella, Cd. de MÈx.",164.8
-99.068333,19.420278,DF,PLMDF,"Planta de Bombeo LÛpez Mateos, Cd. de MÈx.",199.9
-99.126389,19.365278,DF,PMLDF,"Planta de Bombeo Municipio Libre, Cd. de MÈx.",161.8
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de MÈx.",66.3
-99.154444,19.513056,DF,PRMDF,"Planta de Tratamiento RÌo Magdalena, Cd. de MÈx.",295.1
-99.154444,19.513056,DF,PRRDF,"Planta de Tratamiento RÌo Remedios, Cd. de MÈx.",184.7
-99.023056,19.299167,DF,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de MÈx.",140.2
-99.05,19.233333,DF,PSLDF,"Planta San Luis, Cd. de MÈx.",83.8
-99.163889,19.468889,DF,PSNDF,"Planta de Bombeo Nueva Santa MarÌa, Cd. de MÈx.",161.8
-99.171111,19.263056,DF,PSPDF,"Pueblo San Pedro M·rtir, Cd. de MÈx.",214.1
-99.190278,19.509167,DF,PTRDF,"Planta de Tratamiento Rosario, Cd. de MÈx.",209.3
-99.126111,19.285833,DF,PVCDF,"Planta de Bombeo Villa Coapa, Cd. de MÈx.",232.2
-99.143056,19.331944,DF,PXTDF,"Planta Xotepingo, Cd. de MÈx.",66.6
