LON,LAT,EDO,CLAVE_SIH,NOMBRE,ENE
-93.28,17.96,CHIS,MACAYOMI,"Macayo Margen Izquierda, Chis. SGT*",0
-93.598889,17.178611,CHIS,MALCP,"NezahualcÛyotl, Chis.",84.62
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",40.02
-92.0025,16.002222,CHIS,MOZCP,"Mozotal, Chis.",2
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",0
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",230.4
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",54
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",3.61
-93.458611,17.446111,CHIS,PENCP,"¡ngel Albino Corzo, Chis.",156.7
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",0
-93.552778,17.348333,CHIS,RCACP,"RÛmulo Calzada, Chis.",143.3
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",0.7
-93.079167,16.158333,CHIS,REVCP,"RevoluciÛn Mexicana, Chis.",0
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",219
-93.741111,16.699722,CHIS,SANTALUCIAHM,"Santa LucÌa, Chis. SGT*",2.8
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",219.4
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San CristÛbal, Chis.",1.41
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos (San CristÛbal CabaÒas), Chis.",2.16
-92.105556,15.775,CHIS,SDOCP,"Santo Domingo, Chis.",0.01
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",59.4
-93.55,17.35,CHIS,SITALA,"Sitala, Chis. SGT*",105.8
-92.916667,17.5,CHIS,SJOTB,"San JoaquÌn, Chis.",166.1
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",0.42
-92.820833,16.938889,CHIS,SNACP,"Santa MarÌa, Chis.",73.8
-92.266667,14.9,CHIS,TAMCP,"Tapachula (Malpaso), Chis.",5.5
-92.183333,14.9,CHIS,TAPCP,"Tapachula, Chis.",0
-93.383333,17.425,CHIS,TAPILULA,"Tapilula, Chis. SGT*",132.3
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",0
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",0
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla GutiÈrrez, Chis.",0
-93.068056,16.716944,CHIS,TXZCP,"Tuxtla GutiÈrrez Zoomat, Chis.",0
-92.147222,15.091111,CHIS,VTACANA,"Volc·n Tacana, Chis. SMN*",14.8
-93.330556,17.116667,CHIS,YAMCP,"YamonhÛ, Chis.",64.4
-91.729722,16.909167,CHIS,YAQUINTELA,"Yaquintela, Chis. SGT*",30.6
-92.050556,16.116389,CHIS,ZAPALUTA,"Zapaluta, Chis. SGT*",4.8
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",3.01
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",11.12
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",2
-102.064444,26.983333,COAH,CCGCL,"Cuatro CiÈnegas, Coah.",13.9
-100.950278,29.327778,COAH,CDACL,"Ciudad AcuÒa, Coah.",3.02
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",14.02
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",5
-103.338333,25.695833,COAH,CUICL,"El Cuije, Coah.",2.5
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",1.53
-100.920833,25.436111,COAH,ESLCL,"E. C. Saltillo, Coah.",10.45
-103.262778,25.773889,COAH,FIMCL,"Francisco I. Madero, Coah.",2.02
-100.832222,28.82,COAH,LFGCL,"La Fragua, Coah.",0
-101.4225,26.908333,COAH,MCVCL,"Monclova, Coah.",5.61
