LON,LAT,EDO,CLAVE,ESTACION,AGO
-99.140833,19.483333,DF,CCHVALLEJO,"CCH Vallejo, Cd. de MÈx. UNAM*",76.8
-99.180556,19.346667,DF,CCUDF,"Centro Universitario, Cd. de MÈx.",76.69
-99.082222,19.408611,DF,CDEPORTIVA,"Ciudad Deportiva, Cd. de MÈx. SACMEX*",98.316
-98.999444,19.357222,DF,CDMDF,"C·rcel de Mujeres, Cd. de MÈx.",85.08
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de MÈx.",99.33
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de MÈx.",144.53
-99.077222,19.336944,DF,CESTRELLA,"Planta de Tratamiento Cerro de La Estrella, Cd. de MÈx. SACMEX*",87.866
-99.171667,19.1375,DF,CFORESTAL,"Caseta Forestal, Cd. de MÈx. SACMEX*",116.07
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de MÈx.",118.36
-99.047222,19.442222,DF,CHAPLAGO,"Planta de bombeo Churubusco Lago, Cd. de MÈx. SACMEX*",86.864
-99.136667,19.470556,DF,CIENMETROS,"Avenida Cien Metros, Cd. de MÈx. SACMEX*",135.14
-99.182778,19.486944,DF,CMECOAYA,"Campamento Mecoaya, Cd. de MÈx. SACMEX*",71.886
-99.1375,19.469722,DF,CMTDF,"Cien Metros, Cd. de MÈx.",155.46
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de MÈx.",74.93
-99.134722,19.287778,DF,COAPA,"Coapa, Cd. de MÈx. UNAM*",66.87
-99.171944,19.407222,DF,CONDESA,"Condesa, Cd. de MÈx. UNAM*",34.13
-99.247222,19.306389,DF,CONTRERAS,"Contreras, Cd. de MÈx. UNAM*",183.17
-99.09,19.484722,DF,COYOLDF,"Coyol, Cd. de MÈx. SACMEX*",84.322
-99.09,19.190278,DF,CTNDF,"San Salvador Cuautenco, Cd. de MÈx.",110.76
