LON,LAT,EDO,CLAVE_SIH,NOMBRE,FEB
-99.19,19.3375,DF,CONAGUAOFC,"Conagua Oficinas Centrales, Cd. de Mex. SGT*",8.94
-99.09,19.190278,DF,CTNDF,"San Salvador Cuautenco, Cd. de MÈx.",10.92
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de MÈx.",1.27
-99.205,19.3,DF,DATDF,"DesviaciÛn Alta, Cd. de MÈx.",5
-99.131389,19.431111,DF,DDFDF,"Gobierno del D.F., Cd. de MÈx.",1.78
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de MÈx.",9.91
-99.15,19.383333,DF,DVLDF,"Del Valle, Cd. de MÈx.",3.05
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de MÈx.",1.52
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de MÈx.",22.1
-99.352222,19.295,DF,EZCDF,"El Zarco, Cd. de MÈx.",5.33
-99.091667,19.478056,DF,GCNDF,"km 6+250 (Gran Canal), Cd. de MÈx.",0.9
-99.2625,19.308056,DF,HYTDF,"Huayatla, Cd. de MÈx.",14.99
-99.066667,19.377778,DF,LU4DF,"Lumbrera 4 RÌos, Cd. de MÈx.",6.35
-99.3,19.340556,DF,LVNDF,"La Venta, Cd. de MÈx.",12.7
-99.283333,19.216667,DF,MAGDF,"Monte Alegre, Cd. de MÈx.",3.81
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de MÈx.",2.54
-99.233056,19.187778,DF,MZTDF,"Calle Mezontepec (Abasolo), Cd. de MÈx.",14.98
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca AVM Sur, Cd. de MÈx.",8.38
-99.100278,19.379167,DF,PBADF,"Planta de Bombeo Aculco, Cd. de MÈx.",0
-99.057778,19.433333,DF,PBCDF,"Planta de Bombeo Churubusco L., Cd. de MÈx.",0.51
-99.119444,19.486667,DF,PBLDF,"Planta de Bombeo Lindavista, Cd. de MÈx.",1.27
-99.037778,19.38,DF,PBODF,"Planta de Bombeo U. E. de Oriente, Cd. de MÈx.",4.82
-99.170556,19.435556,DF,PBTDF,"Planta de Bombeo Tizoc, Cd. de MÈx.",1.52
-99.2,19.413056,DF,PCHDF,"Puerta Chapultepec, Cd. de MÈx.",3.3
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de MÈx.",1.01
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento La Estrella, Cd. de MÈx.",3.8
-99.068333,19.420278,DF,PLMDF,"Planta de Bombeo LÛpez Mateos, Cd. de MÈx.",3.81
-99.126389,19.365278,DF,PMLDF,"Planta de Bombeo Municipio Libre, Cd. de MÈx.",0
