Lon,Lat,Clave,Edo,Est,Tmax
-92.15,15.09,VTACANA,CHIS,Volc·n Tacan· Chis. SMN*,25.8
-92.62,16.74,SCRCP,CHIS,Puente Morelos Chis.,23.0
-93.07,16.72,TXZCP,CHIS,Tuxtla GutiÈrrez Zoomat Chis.,31.2
-92.33,15.17,FHACP,CHIS,Finca Hamburgo Chis.,28.0
-92.3,14.89,TAPACHULAob,CHIS,Observatorio de Tapachula Chis. SMN*,34.7
-92.4,14.7,PTOCHIAPASMAR,CHIS,Puerto Chiapas Chis. SEMAR*,32.7
-92.76,15.07,LAENCRUCIJADA,CHIS,La Encrucijada Chis. SGT*,32.4
-92.67,15.33,ESCUINTLA,CHIS,Escuintla Chis. SMN*,36.7
-92.81,15.66,ELTRIUNFO,CHIS,El Triunfo Chis. SMN*,22.6
-93.86,16.06,PAREDONMAR,CHIS,ParedÛn Chis. SEMAR*,34.2
-91.73,16.11,LMONTEBELLO,CHIS,Lagunas de Montebello Chis. SMN*,24.7
-93.08,16.17,CREDREVOLUCIONM,CHIS,Cred RevoluciÛn Mexicana Chis. SMN*,32.8
-92.13,16.23,COMITANob,CHIS,Observatorio de Comit·n Chis. SMN*,29.2
-92.13,16.23,76848,CHIS,Comit·n,27.4
-92.63,16.73,SNCRISTOBALob,CHIS,Observatorio de San CristÛbal Chis. SMN*,24.9
-92.63,16.73,76845,CHIS,S. C. De Las Casas,25.0
-91.52,16.81,MAZULES,CHIS,Montes Azules Chis. SMN*,32.6
-91.23,17.29,CUSUMACINTA,CHIS,CaÒÛn Usumacinta Tab. SMN*,34.8
-101.42,26.91,76342,COAH,Monclova,33.6
-100.52,28.7,76243,COAH,Piedras Negras,38.0
-103.7,27.29,SMJCL,COAH,Sierra Mojada Coah.,28.2
-100.92,25.44,ESLCL,COAH,E. C. Saltillo Coah.,26.7
-103.26,25.77,FIMCL,COAH,Francisco I. Madero Coah.,31.9
-101.12,29.15,CBRCL,COAH,Cabeceras Coah.,35.4
-101.02,25.38,STOCL,COAH,Saltillo Coah.,26.7
-103.45,25.53,TORREONob,COAH,Observatorio de TorreÛn Coah. SMN*,35.1
-103.45,25.54,TORCL,COAH,Observatorio de TorreÛn Coah.,35.3
-103.47,25.54,CYTCL,COAH,Coyote Coah.,33.9
-100.93,25.56,ARACL,COAH,Ramos Arizpe Aeropuerto Coah.,28.2
-102.98,25.76,SPECL,COAH,San Pedro Coah.,35.0
-100.66,26.84,CDLCL,COAH,Candela Coah.,33.3
-101.42,26.91,MCVCL,COAH,Monclova Coah.,33.8
-102.06,26.98,CCGCL,COAH,Cuatro CiÈnegas Coah.,33.1
-101,27.42,PRSCL,COAH,Progreso Coah.,37.0
-100.62,27.52,VCRCL,COAH,Venustiano Carranza Coah.,36.0
-101.12,27.85,SBNCL,COAH,Sabinas Coah.,33.8
-100.53,28.71,PNGCL,COAH,Piedras Negras Coah.,38.0
-100.9,29.03,ZPTCL,COAH,Zapata Coah.,35.7
-100.95,29.03,SMGCL,COAH,San Miguel Coah.,36.6
-100.95,29.21,CNTCL,COAH,El Centenario Coah.,34.8
-100.95,29.33,CDACL,COAH,Ciudad AcuÒa Coah.,37.3
-101.06,29.45,AMSCL,COAH,Internacional La Amistad Coah.,36.2
-102.18,25.44,PARCL,COAH,Parras Coah.,27.8
-100.84,28.34,ADLCL,COAH,Allende Coah.,36.0
-101.02,25.38,76390,COAH,Saltillo,27.3
-101.02,25.38,SALCL,COAH,Observatorio de Saltillo Coah.,26.9
-103.23,25.53,MATCL,COAH,Matamoros Coah.,33.1
-103.45,25.53,76382,COAH,TorreÛn,34.6
-103.34,25.7,CUICL,COAH,El Cuije Coah.,35.3
-102.04,26.99,CUATROCIENEGAS,COAH,Cuatro Cienegas Coah. SMN*,32.4
-101.33,27.92,NUEVAROSITA,COAH,Nueva Rosita Coah. SMN*,36.7
-101.71,28.01,MORELOSMUZQUIZ,COAH,Morelos M˙zquiz Coah. SMN*,34.4
-101.21,28.4,SANTACECILIA,COAH,Santa Cecilia Coah. SMN*,33.9
-100.57,28.68,PNEGRASob,COAH,Observatorio de Piedras Negras Coah. SMN*,38.5
-100.66,29.05,JIMENEZ,COAH,JimÈnez Coah. SGT*,30.5
-103.72,19.24,76658,COL,Colima,33.2
-104.33,19.07,76654,COL,Manzanillo,33.9
-103.87,19.17,LAECM,COL,La Esperanza Col.,35.4
-103.72,18.75,CDOCM,COL,Cerro de Ortega Col.,34.5
-103.77,18.81,LDACM,COL,Laguna de Amela Col.,33.9
-103.63,18.83,CLLCM,COL,Callejones Col.,36.6
-103.87,18.91,TCMCM,COL,Tecom·n Col.,36.9
-104.32,19.04,MNZCM,COL,Manzanillo Col.,34.0
-103.8,19.21,CQMCM,COL,Coquimatl·n Col.,33.5
-103.73,19.22,LPSCM,COL,La Posta Col.,33.0
-103.73,19.22,RDRCM,COL,Radar Col.,34.3
-103.61,19.25,BVSCM,COL,Buena Vista Col.,32.7
-103.81,19.32,PNTCM,COL,PeÒitas Col.,34.7
-103.6,19.32,CUACM,COL,CuauhtÈmoc Col.,31.3
-103.88,19.11,DJLCM,COL,Derivadora Jala Col.,33.2
-110.95,18.73,ISOCORROMAR,COL,Isla Socorro Col. SEMAR*,30.8
-104.3,19.07,MANZANILLOMAR,COL,Manzanillo Col. SEMAR*,33.0
-103.73,19.23,COLIMAob,COL,Observatorio de Colima Col. SMN*,33.0
-99.2,19.3,DATDF,DF,DesviaciÛn Alta Cd. de MÈx.,22.3
-99.17,19.45,CBIDF,DF,Escuela Nacional de Ciencias BiolÛgicas IPN Cd. de MÈx. SMN*,24.5
-99.07,19.47,SJADF,DF,San Juan de AragÛn Cd. de MÈx.,25.8
-99.14,19.52,CEADF,DF,Campamento Amealco Cd. de MÈx.,26.0
-99.09,19.48,GCNDF,DF,km 6+250 del Gran Canal Cd. de MÈx.,25.3
-99.12,19.27,ENP1,DF,Escuela Nacional Preparatoria 1 Cd. de MÈx. UNAM*,24.5
-99.13,19.3,ENP5,DF,Escuela Nacional Preparatoria 5 Cd. de MÈx. UNAM*,25.0
