LON,LAT,EDO,CLAVE_SIH,NOMBRE,MAY
-103.700833,19.408333,COL,SCHCM,"Suchitl·n, Col.",0
-103.9175,19.463611,COL,SMANANTLANI,"Sierra Manatl·n 1, Col. SMN*",6.2
-103.882778,18.925556,COL,TCMCM,"Tecom·n, Col.",0
-103.396667,18.967222,COL,TRJCM,"Solidaridad, Col.",0.01
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",1.51
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de MÈx.",23.13
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias BiolÛgicas IPN, Cd. de MÈx. SMN*",8.39
-99.180556,19.346667,DF,CCUDF,"Centro Universitario, Cd. de MÈx.",66.15
-98.999444,19.357222,DF,CDMDF,"C·rcel de Mujeres, Cd. de MÈx.",12.69
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de MÈx.",38.6
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de MÈx.",14.51
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de MÈx.",71.38
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de MÈx.",9.9
-99.09,19.190278,DF,CTNDF,"San Salvador Cuautenco, Cd. de MÈx.",57.4
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de MÈx.",20.83
-99.205,19.3,DF,DATDF,"DesviaciÛn Alta, Cd. de MÈx.",14
-99.131389,19.431111,DF,DDFDF,"Gobierno del D.F., Cd. de MÈx.",27.17
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de MÈx.",11.42
-99.15,19.383333,DF,DVLDF,"Del Valle, Cd. de MÈx.",22.34
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de MÈx.",0
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de MÈx.",34.28
-99.352222,19.295,DF,EZCDF,"El Zarco, Cd. de MÈx.",10.41
-99.091667,19.478056,DF,GCNDF,"km 6+250 (Gran Canal), Cd. de MÈx.",20.2
-99.2625,19.308056,DF,HYTDF,"Huayatla, Cd. de MÈx.",21.85
-99.066667,19.377778,DF,LU4DF,"Lumbrera 4 RÌos, Cd. de MÈx.",14.46
-99.3,19.340556,DF,LVNDF,"La Venta, Cd. de MÈx.",32
-99.283333,19.216667,DF,MAGDF,"Monte Alegre, Cd. de MÈx.",0
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de MÈx.",18.29
-99.026944,19.187222,DF,MLPDF,"Milpa Alta, Cd. de MÈx.",8.38
-99.233056,19.187778,DF,MZTDF,"Calle Mezontepec (Abasolo), Cd. de MÈx.",30.48
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca AVM Sur, Cd. de MÈx.",23.38
-99.100278,19.379167,DF,PBADF,"Planta de Bombeo Aculco, Cd. de MÈx.",9.39
-99.057778,19.433333,DF,PBCDF,"Planta de Bombeo Churubusco L., Cd. de MÈx.",29.2
-99.119444,19.486667,DF,PBLDF,"Planta de Bombeo Lindavista, Cd. de MÈx.",23.87
-99.037778,19.38,DF,PBODF,"Planta de Bombeo U. E. de Oriente, Cd. de MÈx.",11.42
-99.170556,19.435556,DF,PBTDF,"Planta de Bombeo Tizoc, Cd. de MÈx.",21.34
-99.2,19.413056,DF,PCHDF,"Puerta Chapultepec, Cd. de MÈx.",18.29
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de MÈx.",26.42
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento La Estrella, Cd. de MÈx.",0
-99.068333,19.420278,DF,PLMDF,"Planta de Bombeo LÛpez Mateos, Cd. de MÈx.",1.02
-99.126389,19.365278,DF,PMLDF,"Planta de Bombeo Municipio Libre, Cd. de MÈx.",41.14
