LON,LAT,ESTADO,CLAVE_SIH,NOMBRE,ENE
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",4.1
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",1.2
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",163
-93.28,17.96,CHIS,MACAYOMI,"Macayo Margen Izquierda, Chis. SGT*",189.5
-93.598889,17.178611,CHIS,MALCP,"Malpaso (NezahualcÛyotl), Chis.",249.4
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",34
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",365.1
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",142
-93.861944,16.055278,CHIS,PAREDONmar,"Paredon, Chis. SEMAR*",0
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",13.3
-91.967778,15.849444,CHIS,PCONCONDIACFE,"Puente Concordia, Chis. CFE*",13.6
-93.458611,17.446111,CHIS,PENCP,"PeÒitas, Chis.",434.9
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",0
-93.383889,17.610833,CHIS,PLATANAR,"Platanar, Chis. SGT*",0
-92.649167,16.725278,CHIS,PTEMOR,"Puente MOR, Chis. SGT*",12.4
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",17.8
-93.552778,17.348333,CHIS,RCACP,"Romulo Calzada, Chis.",245.4
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",13.9
-93.030278,17.413333,CHIS,REFUGIOCP,"El Refugio, Chis. SGT*",650
-93.079167,16.158333,CHIS,REVCP,"RevoluciÛn Mexicana, Chis.",1.2
-93.078889,16.160278,CHIS,REVMEXICANACFE,"Revolucion Mexicana, Chis. CFE*",0
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",582.5
-92.332778,17.56,CHIS,SALTODEAGUA,"Salto de Agua, Chis. SGT*",500
-92.239167,15.776667,CHIS,SANMIGUELCFE,"San Miguel, Chis. CFE*",13.8
-93.741111,16.699722,CHIS,SANTALUCIAHM,"Santa Lucia, Chis. SGT*",19.6
-93.231111,16.373611,CHIS,SANTUARIOCFE,"Santuario, Chis. CFE*",1.3
-93.383333,17.425,CHIS,SAYCP,Sayula,818.6
-93.331944,17.402222,CHIS,SAYULACFE,Sayula CFE,704.2
-92.603056,16.727222,CHIS,SCCASASCFE,"San Cristobal de las Casas, Chis. CFE*",9.3
-92.633333,16.733333,CHIS,SCOCP,"San CristÛbal Observatorio, Chis.",8.9
-92.616667,16.741667,CHIS,SCRCP,"Puente MOR (San CristÛbal CabaÒas), Chis.",14.4
-92.105556,15.775,CHIS,SDOCP,"Santo Domingo, Chis.",0
-93.056389,16.4525,CHIS,SDOMINGOCFE,"Santo Domingo, Chis. CFE*",0.8
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",224.4
-93.55,17.35,CHIS,SITALA,"Sitala, Chis. SGT*",177.6
-92.916667,17.5,CHIS,SJOTB,"San JoaquÌn, Chis.",569
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",12.9
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",5.4
