,Lon,Lat,Clave,Edo,Est,Tmed_1,Tmed_2,Tmed_3,Tmed_4,Tmed_5,Tmed_6,Tmed_7,Tmed_8,Tmed_9,Tmed_10,Tmed_11,Tmin_1,Tmin_2,Tmin_3,Tmin_4,Tmin_5,Tmin_6,Tmin_7,Tmin_8,Tmin_9,Tmin_10,Tmin_11,Tmax_1,Tmax_2,Tmax_3,Tmax_4,Tmax_5,Tmax_6,Tmax_7,Tmax_8,Tmax_9,Tmax_10,Tmax_11
52,-90.22,19.61,NYXCA,CAMP,Noh-Yaxché Camp.,23.55,25.575,27.11666667,30.23214286,31.89655172,30.85,29.40740741,29.62903226,29.1,28.8,27.1,15.76666667,17.65,20.16666667,23.89285714,26.24137931,25.1,23.55555556,23.83870968,23.6,23.4,21.6,30.86206897,33.5,34.06666667,36.57142857,37.55172414,36.6,35.25925926,35.41935484,34.6,34.2,32.6
53,-89.86,19.66,XCPCA,CAMP,Xcupil Camp.,22.79032258,25.18421053,26.48333333,28.11666667,29.96,29.31666667,28.24137931,28.53333333,28.0,27.5,24.9,14.77419355,17.47368421,18.6,20.36666667,22.84,22.73333333,21.03448276,21.53333333,21.6,22.0,19.1,29.73333333,32.89473684,34.36666667,35.86666667,37.08,35.9,35.44827586,35.53333333,34.4,33.1,30.8
54,-89.85,19.75,HPOCA,CAMP,Hopelchen Camp.,22.46666667,25.80357143,26.24193548,28.25,30.44827586,29.72,28.57142857,28.798387100000003,28.2,27.7,25.0,15.23333333,18.35714286,18.87096774,21.0,23.4137931,23.88,22.28571429,22.70967742,22.2,22.1,19.3,30.0,33.25,33.61290323,35.5,37.48275862,35.56,34.85714286,34.88709677,34.3,33.4,30.7
55,-90.54,19.84,CMPCA,CAMP,Campeche Camp.,22.76785714,26.48214286,26.90322581,28.68965517,31.5,30.23333333,29.35483871,29.4,28.7,28.2,25.6,17.46428571,19.96428571,20.83870968,22.13793103,24.70967742,24.1,23.09677419,23.23333333,23.6,23.3,20.8,29.19642857,33.0,32.96774194,35.24137931,38.29032258,36.36666667,35.61290323,35.56666667,33.9,33.0,30.4
56,-90.51,19.84,COBCA,CAMP,Observatorio de Campeche Camp.,23.41666667,27.5537037,27.64516129,29.56896552,32.20806452,30.48833333,29.751612899999994,30.03709677,29.2,28.9,26.3,17.37777778,20.2,20.77741935,22.5137931,25.0516129,24.61,23.29677419,23.51290323,23.7,23.8,21.1,30.24285714,34.90740741,34.51290323,36.62413793,39.36451613,36.36666667,36.20645161,36.56129032,34.7,34.1,31.5
57,-89.74,20.0,BOLCA,CAMP,Bolonchen Camp.,23.43965517,27.46296296,27.30172414,28.73214286,30.53,29.98148148,28.64285714,28.75862069,28.3,27.8,25.6,17.53448276,21.38888889,21.27586207,22.14285714,24.78,24.77777778,23.55357143,23.75862069,23.5,23.6,21.1,29.53571429,33.53703704,33.32758621,35.32142857,36.28,35.18518519,33.73214286,33.75862069,33.0,32.0,30.1
58,-107.97,26.94,TBRSI,CHIH,San Francisco Chih.,18.85322581,19.8875,23.15769231,26.29642857,29.5826087,33.55869565,31.88709677,30.53214286,29.0,27.8,24.5,7.641935483999999,10.08571429,11.49230769,14.7,19.5826087,25.25217391,24.12580645,23.54642857,22.4,18.5,15.1,29.971999999999998,29.68928571,34.82307692,37.89285714,39.58260870000001,41.86521739,39.6483871,37.51785714,35.5,37.1,33.9
59,-107.92,27.22,URICH,CHIH,Urique Chih. SMN*,18.91774194,19.22115385,23.31034483,25.94333333,27.72741935,32.38571429,29.53064516,28.73448276,26.9,25.7,23.1,11.56774194,11.94230769,15.68965517,18.35,20.67741935,25.225,22.73870968,22.43103448,21.3,18.8,17.1,25.57407407,26.5,30.93103448,33.53666667,34.77741935,39.54642857,36.32258065,35.03793103,32.6,32.5,29.2
60,-107.91,27.22,URECH,CHIH,Urique Chih.,18.43709677,19.51923077,24.01612903,26.295,28.17419355,32.50357143,29.33666667,29.045,26.7,25.5,22.1,9.206451612999999,9.846153846,13.07741935,17.05666667,19.86451613,24.02142857,22.45666667,22.71,21.1,18.9,15.8,26.33448276,29.19230769,34.95483871,35.53333333,36.48387097,40.98571429,36.21666667,35.38,32.4,32.2,28.4
61,-108.54,27.42,CNDCH,CHIH,Chínipas Chih.,15.76774194,17.166,21.52666667,24.93,26.73790323,34.00166667,31.72903226,29.45689655,27.8,26.6,21.2,6.74516129,8.52,10.55333333,12.98,15.94516129,23.25666667,23.88064516,23.51724138,22.0,18.1,14.7,24.06,25.811999999999998,32.5,36.88,37.53064516,44.74666667,39.57741935,35.39655172,33.5,35.2,27.6
